n,B/2 (deg),B/2 (rad),B (rad),r (Angstroms),Difference
3,20.104,0.350880993,0.701761986,2.051056738,
4,15.043,0.262549879,0.525099759,2.716303575,0.665246837
5,12.022,0.209823483,0.419646965,3.384748589,0.668445014
6,10.013,0.174759818,0.349519636,4.054715796,0.669967207
7,8.579,0.149731797,0.299463593,4.726058375,0.671342579
8,7.505,0.13098696,0.261973921,5.397636963,0.671578588
9,6.67,0.116413461,0.232826922,6.069700923,0.67206396
10,6.003,0.104772115,0.20954423,6.741216156,0.671515233
11,5.457,0.095242617,0.190485235,7.413351398,0.672135242
12,5.002,0.087301369,0.174602738,8.085741761,0.672390363
13,4.617,0.080581852,0.161163703,8.758343762,0.672602001
14,4.287,0.074822265,0.14964453,9.431126393,0.672782631
15,4.001,0.069830623,0.139661247,10.10406694,0.672940551
16,3.751,0.0654673,0.1309346,10.77643114,0.672364198
17,3.53,0.061610123,0.123220245,11.4501672,0.673736058
18,3.334,0.058189277,0.116378555,12.12247418,0.672306982
19,3.158,0.055117498,0.110234996,12.79733502,0.674860834
20,3,0.052359878,0.104719755,13.47066244,0.673327423
21,2.857,0.049864057,0.099728113,14.14430124,0.673638804
22,2.728,0.047612582,0.095225164,14.81260643,0.668305183
23,2.609,0.04553564,0.09107128,15.48772987,0.675123442
24,2.5,0.043633231,0.087266463,16.16253787,0.674807998
25,2.4,0.041887902,0.083775804,16.83555807,0.673020202
26,2.308,0.040282199,0.080564398,17.50626116,0.670703091
27,2.222,0.038781216,0.077562432,18.18346153,0.677200375
28,2.143,0.037402406,0.074804812,18.85345036,0.669988823
29,2.069,0.036110862,0.072221724,19.52745515,0.674004798
30,2,0.034906585,0.06981317,20.20086439,0.673409231
31,1.936,0.033789574,0.067579149,20.86839465,0.66753026
32,1.875,0.032724923,0.065449847,21.54705876,0.678664111
33,1.818,0.031730086,0.063460172,22.2223891,0.675330339
34,1.765,0.030805061,0.061610123,22.8894696,0.667080507
35,1.714,0.029914943,0.059829887,23.5703325,0.680862898
36,1.667,0.029094639,0.058189277,24.23468744,0.664354938
37,1.622,0.02830924,0.056618481,24.90685597,0.672168529
38,1.579,0.027558749,0.055117498,25.58495127,0.678095302
39,1.539,0.026860617,0.053721234,26.24976104,0.66480977
40,1.5,0.026179939,0.052359878,26.93209276,0.682331722
41,1.463,0.025534167,0.051068334,27.61306512,0.680972365
42,1.429,0.024940755,0.04988151,28.26991784,0.65685272
43,1.395,0.024347343,0.048694686,28.95879259,0.688874748
44,1.364,0.023806291,0.047612582,29.61681836,0.658025768
45,1.333,0.023265239,0.046530478,30.30545294,0.688634575
46,1.304,0.022759093,0.045518187,30.97930362,0.673850681
47,1.277,0.022287855,0.044575709,31.63419654,0.654892928
48,1.25,0.021816616,0.043633231,32.31738324,0.683186696
49,1.225,0.021380283,0.042760567,32.97681808,0.659434838
50,1.2,0.020943951,0.041887902,33.6637315,0.686913426
51,1.176,0.020525072,0.041050144,34.35064698,0.686915478
52,1.154,0.0201411,0.040282199,35.0054209,0.654773918
53,1.132,0.019757127,0.039514254,35.68564715,0.680226248
54,1.111,0.019390608,0.038781216,36.36008638,0.67443923
55,1.091,0.019041542,0.038083084,37.02654963,0.666463249
56,1.071,0.018692476,0.037384953,37.71790566,0.691356032
57,1.053,0.018378317,0.036756634,38.36258172,0.64467606
58,1.034,0.018046704,0.036093409,39.06742478,0.704843063
59,1.017,0.017749998,0.035499997,39.72039893,0.652974151
60,1,0.017453293,0.034906585,40.39557539,0.675176458
61,0.984,0.01717404,0.03434808,41.05234785,0.656772462
62,0.968,0.016894787,0.033789574,41.73083289,0.678485033
63,0.952,0.016615534,0.033231069,42.43212524,0.701292356
64,0.938,0.016371188,0.032742377,43.06538269,0.633257449
65,0.923,0.016109389,0.032218778,43.76519146,0.699808765
66,0.909,0.015865043,0.031730086,44.43918494,0.673993487
67,0.896,0.01563815,0.0312763,45.08389619,0.64471125
68,0.882,0.015393804,0.030787608,45.79945571,0.71555952
69,0.87,0.015184364,0.030368729,46.43112278,0.63166707
70,0.857,0.014957472,0.029914943,47.1353918,0.704269022
71,0.845,0.014748032,0.029496064,47.80472058,0.669328775
72,0.833,0.014538593,0.029077185,48.49333445,0.688613866
73,0.822,0.014346606,0.028693213,49.14222659,0.648892145
74,0.811,0.01415462,0.02830924,49.80872185,0.666495256
